STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
        555;19100901;19100930;    5;   -999;    75.0;-999;-999;eor
        555;19101001;19101031;    5;   -999;    11.0;-999;-999;eor
        555;19101101;19101130;    5;   -999;    78.0;-999;-999;eor
        555;19101201;19101231;    5;   -999;    66.0;-999;-999;eor
        555;19110101;19110131;    5;   -999;    22.0;-999;-999;eor
        555;19110201;19110228;    5;   -999;    58.0;-999;-999;eor
        555;19110301;19110331;    5;   -999;    54.0;-999;-999;eor
        555;19110401;19110430;    5;   -999;    39.0;-999;-999;eor
        555;19110501;19110531;    5;   -999;    42.0;-999;-999;eor
        555;19110601;19110630;    5;   -999;    80.0;-999;-999;eor
        555;19110701;19110731;    5;   -999;    16.0;-999;-999;eor
        555;19110801;19110831;    5;   -999;    25.0;-999;-999;eor
        555;19110901;19110930;    5;   -999;    36.0;-999;-999;eor
        555;19111001;19111031;    5;   -999;    74.0;-999;-999;eor
        555;19111101;19111130;    5;   -999;    50.0;-999;-999;eor
        555;19111201;19111231;    5;   -999;    71.0;-999;-999;eor
        555;19120101;19120131;    5;   -999;    76.0;-999;-999;eor
        555;19120201;19120229;    5;   -999;    46.0;-999;-999;eor
        555;19120301;19120331;    5;   -999;    78.0;-999;-999;eor
        555;19120401;19120430;    5;   -999;    47.0;-999;-999;eor
        555;19120501;19120531;    5;   -999;    53.0;-999;-999;eor
        555;19120601;19120630;    5;   -999;    94.0;-999;-999;eor
        555;19120701;19120731;    5;   -999;    26.0;-999;-999;eor
        555;19120801;19120831;    5;   -999;   134.0;-999;-999;eor
        555;19120901;19120930;    5;   -999;    75.0;-999;-999;eor
        555;19121001;19121031;    5;   -999;    69.0;-999;-999;eor
        555;19121101;19121130;    5;   -999;    91.0;-999;-999;eor
        555;19121201;19121231;    5;   -999;    91.0;-999;-999;eor
        555;19130101;19130131;    5;   -999;    67.0;-999;-999;eor
        555;19130201;19130228;    5;   -999;    26.0;-999;-999;eor
        555;19130301;19130331;    5;   -999;    88.0;-999;-999;eor
        555;19130401;19130430;    5;   -999;    39.0;-999;-999;eor
        555;19130501;19130531;    5;   -999;    47.0;-999;-999;eor
        555;19130601;19130630;    5;   -999;    81.0;-999;-999;eor
        555;19130701;19130731;    5;   -999;    90.0;-999;-999;eor
        555;19130801;19130831;    5;   -999;    18.0;-999;-999;eor
        555;19130901;19130930;    5;   -999;    55.0;-999;-999;eor
        555;19131001;19131031;    5;   -999;    54.0;-999;-999;eor
        555;19131101;19131130;    5;   -999;    62.0;-999;-999;eor
        555;19131201;19131231;    5;   -999;    87.0;-999;-999;eor
        555;19140101;19140131;    5;   -999;    46.0;-999;-999;eor
        555;19140201;19140228;    5;   -999;    28.0;-999;-999;eor
        555;19140301;19140331;    5;   -999;    98.0;-999;-999;eor
        555;19140401;19140430;    5;   -999;    30.0;-999;-999;eor
        555;19140501;19140531;    5;   -999;    72.0;-999;-999;eor
        555;19140601;19140630;    5;   -999;    92.0;-999;-999;eor
        555;19140701;19140731;    5;   -999;    93.0;-999;-999;eor
        555;19140801;19140831;    5;   -999;   103.0;-999;-999;eor
        555;19140901;19140930;    5;   -999;    60.0;-999;-999;eor
        555;19141001;19141031;    5;   -999;    83.0;-999;-999;eor
        555;19141101;19141130;    5;   -999;    37.0;-999;-999;eor
        555;19141201;19141231;    5;   -999;    73.0;-999;-999;eor
        555;19150101;19150131;    5;   -999;    88.0;-999;-999;eor
        555;19150201;19150228;    5;   -999;    41.0;-999;-999;eor
        555;19150301;19150331;    5;   -999;    51.0;-999;-999;eor
        555;19150401;19150430;    5;   -999;    44.0;-999;-999;eor
        555;19150501;19150531;    5;   -999;    29.0;-999;-999;eor
        555;19150601;19150630;    5;   -999;    12.0;-999;-999;eor
        555;19150701;19150731;    5;   -999;   100.0;-999;-999;eor
        555;19150801;19150831;    5;   -999;    98.0;-999;-999;eor
        555;19150901;19150930;    5;   -999;    32.0;-999;-999;eor
        555;19151001;19151031;    5;   -999;    25.0;-999;-999;eor
        555;19151101;19151130;    5;   -999;    50.0;-999;-999;eor
        555;19151201;19151231;    5;   -999;   118.0;-999;-999;eor
        555;19160101;19160131;    5;   -999;    93.0;-999;-999;eor
        555;19160201;19160229;    5;   -999;    76.0;-999;-999;eor
        555;19160301;19160331;    5;   -999;    64.0;-999;-999;eor
        555;19160401;19160430;    5;   -999;    55.0;-999;-999;eor
        555;19160501;19160531;    5;   -999;    45.0;-999;-999;eor
        555;19160601;19160630;    5;   -999;    55.0;-999;-999;eor
        555;19160701;19160731;    5;   -999;    85.0;-999;-999;eor
        555;19160801;19160831;    5;   -999;    83.0;-999;-999;eor
        555;19160901;19160930;    5;   -999;    67.0;-999;-999;eor
        555;19161001;19161031;    5;   -999;    85.0;-999;-999;eor
        555;19161101;19161130;    5;   -999;    36.0;-999;-999;eor
        555;19161201;19161231;    5;   -999;    68.0;-999;-999;eor
        555;19170101;19170131;    5;   -999;    56.0;-999;-999;eor
        555;19170201;19170228;    5;   -999;    12.0;-999;-999;eor
        555;19170301;19170331;    5;   -999;    45.0;-999;-999;eor
        555;19170401;19170430;    5;   -999;    67.0;-999;-999;eor
        555;19170501;19170531;    5;   -999;    26.0;-999;-999;eor
        555;19170601;19170630;    5;   -999;   153.0;-999;-999;eor
        555;19170701;19170731;    5;   -999;   102.0;-999;-999;eor
        555;19170801;19170831;    5;   -999;   125.0;-999;-999;eor
        555;19170901;19170930;    5;   -999;    29.0;-999;-999;eor
        555;19171001;19171031;    5;   -999;   112.0;-999;-999;eor
        555;19171101;19171130;    5;   -999;    63.0;-999;-999;eor
        555;19171201;19171231;    5;   -999;    30.0;-999;-999;eor
        555;19180101;19180131;    5;   -999;    81.0;-999;-999;eor
        555;19180201;19180228;    5;   -999;    61.0;-999;-999;eor
        555;19180301;19180331;    5;   -999;    22.0;-999;-999;eor
        555;19180401;19180430;    5;   -999;    34.0;-999;-999;eor
        555;19180501;19180531;    5;   -999;    63.0;-999;-999;eor
        555;19180601;19180630;    5;   -999;    52.0;-999;-999;eor
        555;19180701;19180731;    5;   -999;    73.0;-999;-999;eor
        555;19180801;19180831;    5;   -999;    99.0;-999;-999;eor
        555;19180901;19180930;    5;   -999;   171.0;-999;-999;eor
        555;19181001;19181031;    5;   -999;    78.0;-999;-999;eor
        555;19181101;19181130;    5;   -999;    31.0;-999;-999;eor
        555;19181201;19181231;    5;   -999;   119.0;-999;-999;eor
        555;19190101;19190131;    5;   -999;    34.0;-999;-999;eor
        555;19190201;19190228;    5;   -999;    38.0;-999;-999;eor
        555;19190301;19190331;    5;   -999;    66.0;-999;-999;eor
        555;19190401;19190430;    5;   -999;    68.0;-999;-999;eor
        555;19190501;19190531;    5;   -999;    21.0;-999;-999;eor
        555;19190601;19190630;    5;   -999;    76.0;-999;-999;eor
        555;19190701;19190731;    5;   -999;   128.0;-999;-999;eor
        555;19190801;19190831;    5;   -999;    58.0;-999;-999;eor
        555;19190901;19190930;    5;   -999;    51.0;-999;-999;eor
        555;19191001;19191031;    5;   -999;    44.0;-999;-999;eor
        555;19191101;19191130;    5;   -999;   113.0;-999;-999;eor
        555;19191201;19191231;    5;   -999;   143.0;-999;-999;eor
        555;19200101;19200131;    5;   -999;   119.0;-999;-999;eor
        555;19200201;19200229;    5;   -999;    48.0;-999;-999;eor
        555;19200301;19200331;    5;   -999;    20.0;-999;-999;eor
        555;19200401;19200430;    5;   -999;    65.0;-999;-999;eor
        555;19200501;19200531;    5;   -999;    73.0;-999;-999;eor
        555;19200601;19200630;    5;   -999;    30.0;-999;-999;eor
        555;19200701;19200731;    5;   -999;   113.0;-999;-999;eor
        555;19200801;19200831;    5;   -999;   167.0;-999;-999;eor
        555;19200901;19200930;    5;   -999;    78.0;-999;-999;eor
        555;19201001;19201031;    5;   -999;    18.0;-999;-999;eor
        555;19201101;19201130;    5;   -999;    21.0;-999;-999;eor
        555;19201201;19201231;    5;   -999;    28.0;-999;-999;eor
        555;19210101;19210131;    5;   -999;   126.0;-999;-999;eor
