STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;eor
        555;19310622;    5;   0.0;   0;-999;eor
        555;19310623;    5;   0.0;   0;-999;eor
        555;19310624;    5;   0.0;   1;-999;eor
        555;19310625;    5;   0.0;   1;-999;eor
        555;19310626;    5;   0.0;   0;-999;eor
        555;19310627;    5;   0.0;   0;-999;eor
        555;19310628;    5;   0.0;   0;-999;eor
        555;19310629;    5;   0.0;   0;-999;eor
        555;19310630;    5;   0.0;   0;-999;eor
        555;19310701;    5;   0.0;   0;-999;eor
        555;19310702;    5;   0.0;   0;-999;eor
        555;19310703;    5;   1.5;   1;-999;eor
        555;19310704;    5;   0.0;   0;-999;eor
        555;19310705;    5;   0.4;   1;-999;eor
        555;19310706;    5;  52.6;   1;-999;eor
        555;19310707;    5;   4.9;   1;-999;eor
        555;19310708;    5;   0.8;   1;-999;eor
        555;19310709;    5;   0.0;   0;-999;eor
        555;19310710;    5;   1.2;   1;-999;eor
        555;19310711;    5;   0.0;   0;-999;eor
        555;19310712;    5;   0.1;   1;-999;eor
        555;19310713;    5;   0.0;   0;-999;eor
        555;19310714;    5;   9.5;   1;-999;eor
        555;19310715;    5;   2.7;   1;-999;eor
        555;19310716;    5;   1.4;   1;-999;eor
        555;19310717;    5;  14.5;   1;-999;eor
        555;19310718;    5;   1.7;   1;-999;eor
        555;19310719;    5;   6.6;   1;-999;eor
        555;19310720;    5;   3.9;   1;-999;eor
        555;19310721;    5;   2.0;   1;-999;eor
        555;19310722;    5;   0.0;   0;-999;eor
        555;19310723;    5;   0.0;   0;-999;eor
        555;19310724;    5;   0.0;   0;-999;eor
        555;19310725;    5;  12.7;   1;-999;eor
        555;19310726;    5;   0.4;   1;-999;eor
        555;19310727;    5;   0.0;   1;-999;eor
        555;19310728;    5;   1.7;   1;-999;eor
        555;19310729;    5;   0.1;   1;-999;eor
        555;19310730;    5;   0.4;   1;-999;eor
        555;19310731;    5;   0.0;   0;-999;eor
        555;19310801;    5;   0.0;   0;-999;eor
        555;19310802;    5;   0.0;   0;-999;eor
        555;19310803;    5;   1.7;   1;-999;eor
        555;19310804;    5;   5.9;   1;-999;eor
        555;19310805;    5;   0.1;   1;-999;eor
        555;19310806;    5;  29.2;   1;-999;eor
        555;19310807;    5;  26.0;   1;-999;eor
        555;19310808;    5;   0.9;   1;-999;eor
        555;19310809;    5;   1.4;   1;-999;eor
        555;19310810;    5;   9.1;   1;-999;eor
        555;19310811;    5;   2.5;   1;-999;eor
        555;19310812;    5;   8.1;   1;-999;eor
        555;19310813;    5;   0.0;   0;-999;eor
        555;19310814;    5;   1.2;   1;-999;eor
        555;19310815;    5;   0.3;   1;-999;eor
        555;19310816;    5;   1.1;   1;-999;eor
        555;19310817;    5;   5.4;   1;-999;eor
        555;19310818;    5;   0.0;   0;-999;eor
        555;19310819;    5;  25.0;   1;-999;eor
        555;19310820;    5;   3.7;   1;-999;eor
        555;19310821;    5;   9.8;   1;-999;eor
        555;19310822;    5;   1.4;   1;-999;eor
        555;19310823;    5;   0.0;   0;-999;eor
        555;19310824;    5;   3.3;   1;-999;eor
        555;19310825;    5;   4.9;   1;-999;eor
        555;19310826;    5;   1.5;   1;-999;eor
        555;19310827;    5;   0.0;   0;-999;eor
        555;19310828;    5;   0.0;   0;-999;eor
        555;19310829;    5;   0.0;   0;-999;eor
        555;19310830;    5;   0.0;   0;-999;eor
        555;19310831;    5;   0.0;   0;-999;eor
        555;19310901;    5;   0.0;   0;-999;eor
        555;19310902;    5;   0.0;   0;-999;eor
        555;19310903;    5;   7.5;   1;-999;eor
        555;19310904;    5;   1.5;   1;-999;eor
        555;19310905;    5;   3.2;   1;-999;eor
        555;19310906;    5;   6.4;   1;-999;eor
        555;19310907;    5;   0.5;   1;-999;eor
        555;19310908;    5;   0.0;   0;-999;eor
        555;19310909;    5;   0.2;   1;-999;eor
        555;19310910;    5;   0.0;   0;-999;eor
        555;19310911;    5;   0.0;   0;-999;eor
        555;19310912;    5;   4.2;   1;-999;eor
        555;19310913;    5;   1.2;   1;-999;eor
        555;19310914;    5;   0.0;   1;-999;eor
        555;19310915;    5;   0.0;   0;-999;eor
        555;19310916;    5;   0.0;   0;-999;eor
        555;19310917;    5;   0.1;   1;-999;eor
        555;19310918;    5;   0.0;   1;-999;eor
        555;19310919;    5;   1.6;   1;-999;eor
        555;19310920;    5;   2.2;   1;-999;eor
        555;19310921;    5;   4.2;   1;-999;eor
        555;19310922;    5;   0.0;   0;-999;eor
        555;19310923;    5;   0.0;   0;-999;eor
        555;19310924;    5;   0.8;   1;-999;eor
        555;19310925;    5;   0.4;   1;-999;eor
        555;19310926;    5;   0.4;   1;-999;eor
        555;19310927;    5;   2.1;   1;-999;eor
        555;19310928;    5;   1.9;   1;-999;eor
        555;19310929;    5;   0.0;   0;-999;eor
